TiempoKey;Fecha;Mes;Dia;Anio
10924;24-10-2018;10;24;2018
10925;25-10-2018;10;25;2018
10926;26-10-2018;10;26;2018
10927;27-10-2018;10;27;2018
10928;28-10-2018;10;28;2018
10929;29-10-2018;10;29;2018
10930;30-10-2018;10;30;2018
10931;31-10-2018;10;31;2018
11001;01-11-2018;11;1;2018
11002;02-11-2018;11;2;2018
11003;03-11-2018;11;3;2018
11004;04-11-2018;11;4;2018
11005;05-11-2018;11;5;2018
11006;06-11-2018;11;6;2018
11007;07-11-2018;11;7;2018
11008;08-11-2018;11;8;2018
11009;09-11-2018;11;9;2018
11010;10-11-2018;11;10;2018
11011;11-11-2018;11;11;2018
11012;12-11-2018;11;12;2018
11013;13-11-2018;11;13;2018
11014;14-11-2018;11;14;2018
11015;15-11-2018;11;15;2018
11016;16-11-2018;11;16;2018
11017;17-11-2018;11;17;2018
11018;18-11-2018;11;18;2018
11019;19-11-2018;11;19;2018
11020;20-11-2018;11;20;2018
11021;21-11-2018;11;21;2018
11022;22-11-2018;11;22;2018
11023;23-11-2018;11;23;2018
11024;24-11-2018;11;24;2018
11025;25-11-2018;11;25;2018
11026;26-11-2018;11;26;2018
11027;27-11-2018;11;27;2018
11028;28-11-2018;11;28;2018
11029;29-11-2018;11;29;2018
11030;30-11-2018;11;30;2018
11101;01-12-2018;12;1;2018
11102;02-12-2018;12;2;2018
11103;03-12-2018;12;3;2018
11104;04-12-2018;12;4;2018
11105;05-12-2018;12;5;2018
11106;06-12-2018;12;6;2018
11107;07-12-2018;12;7;2018
11108;08-12-2018;12;8;2018
11109;09-12-2018;12;9;2018
11110;10-12-2018;12;10;2018
11111;11-12-2018;12;11;2018
11112;12-12-2018;12;12;2018
11113;13-12-2018;12;13;2018
11114;14-12-2018;12;14;2018
11115;15-12-2018;12;15;2018
11116;16-12-2018;12;16;2018
11117;17-12-2018;12;17;2018
11118;18-12-2018;12;18;2018
11119;19-12-2018;12;19;2018
11120;20-12-2018;12;20;2018
11121;21-12-2018;12;21;2018
11122;22-12-2018;12;22;2018
11123;23-12-2018;12;23;2018
11124;24-12-2018;12;24;2018
11125;25-12-2018;12;25;2018
11126;26-12-2018;12;26;2018
11127;27-12-2018;12;27;2018
11128;28-12-2018;12;28;2018
11129;29-12-2018;12;29;2018
11130;30-12-2018;12;30;2018
11131;31-12-2018;12;31;2018
20001;01-01-2019;1;1;2019
20002;02-01-2019;1;2;2019
20003;03-01-2019;1;3;2019
20004;04-01-2019;1;4;2019
20005;05-01-2019;1;5;2019
20006;06-01-2019;1;6;2019
20007;07-01-2019;1;7;2019
20008;08-01-2019;1;8;2019
20009;09-01-2019;1;9;2019
20010;10-01-2019;1;10;2019
20011;11-01-2019;1;11;2019
20012;12-01-2019;1;12;2019
20013;13-01-2019;1;13;2019
20014;14-01-2019;1;14;2019
20015;15-01-2019;1;15;2019
20016;16-01-2019;1;16;2019
20017;17-01-2019;1;17;2019
20018;18-01-2019;1;18;2019
20019;19-01-2019;1;19;2019
20020;20-01-2019;1;20;2019
20021;21-01-2019;1;21;2019
20022;22-01-2019;1;22;2019
20023;23-01-2019;1;23;2019
20024;24-01-2019;1;24;2019
20025;25-01-2019;1;25;2019
20026;26-01-2019;1;26;2019
